,Accuracy,Precision,Recall,F1
KNN,0.9409090909090909,0.951048951048951,0.9577464788732394,0.9543859649122807
Logistic Regression,0.8681818181818182,0.9064748201438849,0.8873239436619719,0.896797153024911
